Right Speed, Left Speed
363.4738934829281, 333.46034886217524
363.47359294957926, 333.4600483310418
363.5345327079962, 333.5208326066937
363.5342304541445, 333.5205303551111
363.5962528508855, 333.58239449034625
363.5959488557726, 333.58209049755686
363.65906214772275, 333.64504271669523
363.6587563905893, 333.6447369619404
363.72296883580964, 333.70878549008785
363.72266129589525, 333.7084779526078
363.7879811535579, 333.77363101559183
363.787671810101, 333.77332167462566
363.8541073405741, 333.8395874990802
363.85379617281217, 333.83927633386594
363.92135563755767, 333.90666314712905
363.92104262472697, 333.90635013690365
363.9897342864501, 333.97486616716645
363.9894194077858, 333.97455129116577
364.05925153029284, 334.04420476733105
364.05893476502905, 334.04388800478984
364.12991561339686, 334.1146871566408
364.1295969407665, 334.1143684867925
364.2017347811813, 334.1863215448319
364.20141418041607, 334.18600094690896
