Right, Left
267.5952435082434, 231.876050929771
268.97772810383634, 233.08919578173652
270.36054608560113, 234.3377792515911
271.7437167215462, 235.620906900711
273.12725927968046, 236.93768429047256
274.5111930280123, 238.28721698225203
275.8955372345505, 239.6686105374258
277.28031116730364, 241.08097051737008
278.66553409428036, 242.52340248346124
280.05122528348926, 243.99501199707564
281.43740400293893, 245.4949046195895
282.8240895206382, 247.0221859123792
284.21130110459546, 248.575961436821
285.5990580228194, 250.1553367542912
286.9873795433188, 251.7594174261662
288.37628493410205, 253.38730901382226
289.765793463178, 255.0381170786356
291.15592439855516, 256.71094718198265
292.54669700824206, 258.4049048852397
293.9381305602476, 260.11909574978307
295.33024432258026, 261.8526253369889
296.7230575632487, 263.6045992082338
298.1165895502614, 265.3741229248939
299.51085955162716, 267.1603020483455
300.9058868353545, 268.962242139965
302.3016906694522, 270.7790487611286
303.69829032192877, 272.60982747321265
305.09570506079285, 274.45368383759353
306.4939541540531, 276.30972341564745
307.89305686971807, 278.1770517687508
309.29303247579645, 280.0547744582799
310.69390024029695, 281.9419970456109
312.0956794312281, 283.83782509212034
313.49838931659855, 285.74136415918446
314.9020491644169, 287.6517198081794
316.3066782426918, 289.56799760048165
317.712295819432, 291.4893030974675
319.1189211626459, 293.4147418605131
320.5265735403422, 295.34341945099504
321.93527222052967, 297.27444143028947
323.34503647121676, 299.20691335977267
324.75588556041225, 301.13994080082097
326.1678387561247, 303.07262931481074
327.58091532636274, 305.0040844631183
328.99513453913505, 306.9334118071199
330.41051566245017, 308.85971690819184
331.82707796431674, 310.78210532771044
333.2448407127434, 312.6996826270521
334.6638231757388, 314.61155436759293
336.0840446213116, 316.5168261107095
337.50552431747036, 318.41460341777787
338.9282815322238, 320.3039918501745
340.35233553358046, 322.18409696927574
341.77770558954904, 324.05402433645787
343.2044109681381, 325.912879513097
344.63247093735635, 327.7597680605697
346.06190476521226, 329.5937955402522
347.4927317197146, 331.4140675135207
348.924971068872, 333.2196895417517
350.3586420806931, 335.0097671863213
351.7937640231864, 336.783406008606
353.23035616436067, 338.53971156998205
354.6684377722244, 340.2777894318257
356.1080281147864, 341.9967451555133
357.5491464600552, 343.6956843024212
358.9918120760394, 345.37371243392573
360.4360442307477, 347.029935111403
361.88186219218863, 348.66345789622954
363.3292852283709, 350.27338634978173
364.7783326073032, 351.85882603343555
366.22902359699395, 353.41888250856755
367.681377465452, 354.9526613365539
369.1354134806858, 356.4592680787711
370.59115091070413, 357.93780829659534
372.04860902351567, 359.3873875514031
373.5078070871287, 360.8071114045704
374.9687643695522, 362.1960854174737
376.4315001387947, 363.5534151514892
377.8960336628648, 364.8782061679934
379.3623842097711, 366.1695640283626
380.8305710475223, 367.42659429397287
382.30061344412695, 368.64840252620075
383.7725306675938, 369.83409428642267
385.24634198593134, 370.9827751360144
386.7220666671484, 372.0935506363529
388.19972397925335, 373.16552634881407
389.67933319025497, 374.1978078347744
391.1609135681619, 375.1895006556101
392.64448438098265, 376.13971037269755
394.1300648967261, 377.04754254741295
395.6176743834005, 377.91210274113257
397.10733210901475, 378.7324965152332
398.59905734157746, 379.50782943109056
400.09286934909727, 380.23720705008117
401.58878739958266, 380.91973493358137
403.08683076104245, 381.5545186429675
404.5870187014852, 382.1406637396158
406.0893704889194, 382.6772757849026
407.59390539135387, 383.16346034020427
409.10064267679707, 383.5983229668972
410.6096016132578, 383.9809692263573
412.12080146874456, 384.31050467996135
413.6342615112661, 384.58603488908545
415.15000100883094, 384.80666541510584
416.6680392294478, 384.97150181939907
418.1883906790049, 385.07978282392025
419.71103250302804, 385.13179183811246
421.2359242155257, 385.12830529194
422.76302522647256, 385.07010252440796
424.2922949458434, 384.95796287452134
425.82369278361296, 384.79266568128526
427.3571781497559, 384.5749902837048
428.89271045424675, 384.3057160207851
430.4302491070606, 383.9856222315312
431.9697535181719, 383.6154882549481
433.5111830975554, 383.19609343004106
435.0544972551858, 382.72821709581507
436.59965540103786, 382.21263859127515
438.1466169450862, 381.6501372554266
439.6953412973056, 381.0414924272743
441.2457878676708, 380.3874834458234
442.7979160661565, 379.68888965007903
444.3516853027373, 378.94649037904617
445.907054987388, 378.16106497172996
447.4639845300833, 377.33339276713554
449.0224333407979, 376.46425310426804
450.58236082950657, 375.5544253221323
452.14372640618393, 374.6046887597336
453.70648948080463, 373.61582275607714
455.2706094633435, 372.5886066501677
456.8360457637753, 371.5238197810105
458.4027577920746, 370.4222414876108
459.9707049582161, 369.28465110897343
461.5398466721747, 368.1118279841036
463.1101423439249, 366.9045514520064
464.6815513834415, 365.66360085168685
466.2540332006993, 364.38975552215004
467.8275472056729, 363.0837948024012
469.40205280833686, 361.74649803144524
470.9775094186662, 360.37864454828735
472.5538764466354, 358.98101369193256
474.1311133022193, 357.554384801386
475.7091793953925, 356.09953721565273
477.2880341361298, 354.6172502737378
478.8676369344059, 353.1083033146464
480.4479472001954, 351.57347567738344
482.0289243434732, 350.0135467009542
483.6105277742139, 348.4292957243637
485.1927169023921, 346.821502086617
486.7754511379827, 345.1909451267191
488.3586898909603, 343.5384041836753
489.94239257129965, 341.86465859649053
491.5265185889754, 340.1704877041699
493.1110273539624, 338.4566708457184
494.69587827623525, 336.72398736014145
496.28103076576855, 334.97321658644375
497.8664442325373, 333.20513786363057
499.45207808651605, 331.42053053070697
501.0378917376794, 329.620173926678
502.6238445960022, 327.80484739054884
504.2098960714591, 325.97533026132453
505.79600557402483, 324.1324018780101
507.3821325136741, 322.27684157961073
508.9682363003816, 320.4094287051314
510.55427634412206, 318.5309425935773
512.1402120548702, 316.64216258395345
513.7260028426008, 314.743868015265
515.3116081172883, 312.8368382265168
516.8969872889078, 310.9218525567143
518.4820997674336, 308.99969034486236
520.0669049628408, 307.07113092996616
521.6513622851038, 305.13695365103075
523.2354311441975, 303.1979378470611
524.8190709500965, 301.25486285706256
526.4022411127754, 299.30850802003994
527.9849010422092, 297.3596526749985
529.5670101483726, 295.4090761609433
531.14852784124, 293.4575578168792
532.7294135307864, 291.50587698181164
534.3096266269863, 289.5548129947456
535.8891265398146, 287.60514519468603
537.4678726792457, 285.6576529206381
539.0458244552548, 283.71311551160693
540.6229412778159, 281.7723123065976
542.1991825569046, 279.8360226446151
543.7745077024949, 277.90502586466465
545.3488761245619, 275.9801013057513
546.92224723308, 274.06202830688
548.4945804380242, 272.1515862070559
550.065835149369, 270.24955434528425
551.6359707770894, 268.35671206057003
553.2049467311597, 266.4738386919182
